mm_4_75;mm_2;mm_1;fundo;peso_massa;data;produto;lote;ton;turno;box_consumo;aditivo;mm_4_75_perc;mm_2_perc;mm_1_perc;fundo_perc;linha
2.04;326.76;13.79;0.53;340.33;2024-11-27;UREIA;29;49;A;AZ-05;NÃO;0.59;95.23;4.02;0.15;BAG MOVEL
3.31;318.72;15.94;0.82;334.74;2024-11-27;UREIA;30;50;B;AZ-05;NÃO;0.98;94.08;4.70;0.24;BAG MOVEL
9.57;288.21;0.98;1.15;312.50;2025-02-04;20-00-20;700;37;A;BOX-03/06/10;NAO;3.19;96.10;0.33;0.38;MAQUINARIO
6.65;291.82;1.23;1.29;313.75;2025-02-04;20-00-20;702;37;A;BOX-03/06/10;NAO;2.21;96.95;0.41;0.43;MAQUINARIO
7.78;287.33;1.34;1.08;312.47;2025-02-04;20-00-20;703;37;A;BOX-03/06/10;NAO;2.61;96.57;0.45;0.36;MAQUINARIO
12.68;307.65;3.88;1.24;335.53;2025-02-04;20-00-20;704;45;B;BOX-01/04/08;NAO;3.90;94.53;1.19;0.38;MAQUINARIO
15.93;301.38;4.10;1.37;335.44;2025-02-04;20-00-20;706;50;B;BOX-01/04/08;NAO;4.94;93.37;1.27;0.42;MAQUINARIO
14.95;299.36;4.12;1.40;334.60;2025-02-04;20-00-20;707;35;B;BOX-01/04/08;NAO;4.67;93.60;1.29;0.44;MAQUINARIO
15.91;300.40;5.08;1.36;335.02;2025-02-04;20-00-20;708;46;B;BOX-01/04/08;NAO;4.93;93.08;1.57;0.42;MAQUINARIO
15.04;305.34;3.85;1.19;335.21;2025-02-04;20-00-20;709;37;B;BOX-01/04/08;NAO;4.62;93.83;1.18;0.37;MAQUINARIO
16.00;304.35;3.90;1.19;335.34;2025-02-04;20-00-20;711;50;B;BOX-01/04/08;NAO;4.92;93.52;1.20;0.37;MAQUINARIO
15.90;299.41;4.12;1.19;335.21;2025-02-04;20-00-20;712;48;B;BOX-01/04/08;NAO;4.96;93.38;1.29;0.37;MAQUINARIO
18.06;301.04;3.77;1.45;335.51;2025-02-05;20-00-20;733;49;B;BOX-01/04/08;NAO;5.57;92.82;1.16;0.45;MAQUINARIO
17.08;300.05;4.74;1.40;334.84;2025-02-05;20-00-20;734;49;B;BOX-01/04/08;NAO;5.28;92.82;1.47;0.43;MAQUINARIO
